STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.903994342 GHz,
TABLE,Region StartNewtonTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.005309,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,14256680
CPU_CLK_UNHALTED_CORE,FIXC1,6739986
CPU_CLK_UNHALTED_REF,FIXC2,7262783
L2_TRANS_ALL_REQUESTS,PMC0,348279
L2_RQSTS_MISS,PMC1,76861
TABLE,Region StartNewtonTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0053,
Runtime unhalted [s],0.0023,
Clock [MHz],2694.9561,
CPI,0.4728,
L2 request rate,0.0244,
L2 miss rate,0.0054,
L2 miss ratio,0.2207,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.903994342 GHz,
TABLE,Region AlocVariavelTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000005,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,7819
CPU_CLK_UNHALTED_CORE,FIXC1,14117
CPU_CLK_UNHALTED_REF,FIXC2,14762
L2_TRANS_ALL_REQUESTS,PMC0,1778
L2_RQSTS_MISS,PMC1,522
TABLE,Region AlocVariavelTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],5.483851e-06,
Runtime unhalted [s],4.861235e-06,
Clock [MHz],2777.1093,
CPI,1.8055,
L2 request rate,0.2274,
L2 miss rate,0.0668,
L2 miss ratio,0.2936,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.903994342 GHz,
TABLE,Region LeVariavelTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000007,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,17454
CPU_CLK_UNHALTED_CORE,FIXC1,23081
CPU_CLK_UNHALTED_REF,FIXC2,25410
L2_TRANS_ALL_REQUESTS,PMC0,2434
L2_RQSTS_MISS,PMC1,781
TABLE,Region LeVariavelTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],7.051551e-06,
Runtime unhalted [s],7.948018e-06,
Clock [MHz],2637.8234,
CPI,1.3224,
L2 request rate,0.1395,
L2 miss rate,0.0447,
L2 miss ratio,0.3209,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.903994342 GHz,
TABLE,Region EscreveParciaisTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.001212,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1814472
CPU_CLK_UNHALTED_CORE,FIXC1,911151
CPU_CLK_UNHALTED_REF,FIXC2,980584
L2_TRANS_ALL_REQUESTS,PMC0,68086
L2_RQSTS_MISS,PMC1,18783
TABLE,Region EscreveParciaisTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0012,
Runtime unhalted [s],0.0003,
Clock [MHz],2698.3689,
CPI,0.5022,
L2 request rate,0.0375,
L2 miss rate,0.0104,
L2 miss ratio,0.2759,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.903994342 GHz,
TABLE,Region MetodoNewtonTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.003047,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,12366740
CPU_CLK_UNHALTED_CORE,FIXC1,5701670
CPU_CLK_UNHALTED_REF,FIXC2,6144622
L2_TRANS_ALL_REQUESTS,PMC0,263419
L2_RQSTS_MISS,PMC1,53126
TABLE,Region MetodoNewtonTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0030,
Runtime unhalted [s],0.0020,
Clock [MHz],2694.6519,
CPI,0.4610,
L2 request rate,0.0213,
L2 miss rate,0.0043,
L2 miss ratio,0.2017,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.903994342 GHz,
TABLE,Region LiberaMemoriaTrab1,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000000,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,5104
CPU_CLK_UNHALTED_CORE,FIXC1,8281
CPU_CLK_UNHALTED_REF,FIXC2,9317
L2_TRANS_ALL_REQUESTS,PMC0,1087
L2_RQSTS_MISS,PMC1,211
TABLE,Region LiberaMemoriaTrab1,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],4.732747e-07,
Runtime unhalted [s],2.851590e-06,
Clock [MHz],2581.0859,
CPI,1.6225,
L2 request rate,0.2130,
L2 miss rate,0.0413,
L2 miss ratio,0.1941,
