RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,7253
CPU_CLK_UNHALTED_CORE,FIXC1,10810
CPU_CLK_UNHALTED_REF,FIXC2,11737
L2_LINES_IN_ALL,PMC0,368
L2_TRANS_L2_WB,PMC1,67
TABLE,Region LiberaMemoriaTrab1,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],1.183540e-06,
Runtime unhalted [s],3.722464e-06,
Clock [MHz],2674.6303,
CPI,1.4904,
L3 load bandwidth [MBytes/s],19899.6232,
L3 load data volume [GBytes],2.355200e-05,
L3 evict bandwidth [MBytes/s],3623.0292,
L3 evict data volume [GBytes],4.288000e-06,
L3 bandwidth [MBytes/s],23522.6524,
L3 data volume [GBytes],2.784000e-05,
